Datum von:;="01.01.2025"
Datum bis:;="31.01.2025"
Kategorie:;="Alle"
Konto:;="CH56 0000 0000 0000 0000 0"
Währung:;="CHF"

Datum;Bewegungstyp;Avisierungstext;Gutschrift in CHF;Lastschrift in CHF;Label;Kategorie

31.01.2025;Buchung;"AUFTRAG CH-DD-BASISLASTSCHRIFT ID-NR. DES ZAHLUNGSEMPFÄNGERS: 41101000000123456 REFERENZ-NR: TAXA2589-695B-4A7B-B290-C9A7BEF70101 ZAHLUNGSEMPFÄNGER: FINANZVERWALTUNG STADT SOLOTHURN MITTEILUNGEN: 2025/02/01 / 7045128 TRANSAKTIONS-ID: 305-77440101";;-1774;;Wohnen // Miete und Hypothek
28.01.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.01.2025 KARTEN NR. XXXX4821 MIGROS MARKTHALLE (8812) SOLOTHURN SCHWEIZ";;-96.4;;Einkaufen // Supermärkte
25.01.2025;Buchung;"GUTSCHRIFT AUFTRAGGEBER: ALPENWERK AG INDUSTRIESTRASSE 12 CH-5430 WETTINGEN AG MITTEILUNGEN: SALAER JANUAR 2025 REFERENZEN: SALA00000000000000000000000000000001 9988776655/1XXXX 250125CH0EXMPL01";4200;;;Einkommen
25.01.2025;Buchung;"TWINT GELD EMPFANGEN VOM 25.01.2025 VON TELEFON-NR. +41790000000 MAX MUSTER MITTEILUNGEN: TEST";1;;;Rückerstattungen
19.01.2025;Buchung;"KAUF/ONLINE-SHOPPING VOM 19.01.2025 ONLINE HAUSHALT AG N/A PAYMENT ID 250119000000000000 BESTELLNUMMER DP-P-00000000";;-13.9;;Wohnen // Haushalt
18.01.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 18.01.2025 KARTEN NR. XXXX4821 COOP-5510 RIVERSIDE REST. LUZERN SCHWEIZ";;-132.85;;Einkaufen // Supermärkte
15.01.2025;Buchung;"KONTOÜBERTRAG AUF CH5600000000000000000 ZMITTAG 13.1.";;-19.0;;Leben // Familie
10.01.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 10.01.2025 KARTEN NR. XXXX4821 MIGROS MARKTHALLE (8812) SOLOTHURN SCHWEIZ";;-118.3;;Einkaufen // Supermärkte
04.01.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 04.01.2025 KARTEN NR. XXXX4821 MIGROS M RIVERSIDE (7741) LUZERN SCHWEIZ";;-41.2;;Einkaufen // Supermärkte
03.01.2025;Buchung;"LASTSCHRIFT MUSTERBANK AG MUSTERSTRASSE 12 6002 LUZERN CH5600000000000000000 MOBILITY MUSTER GENOSSENSCHAFT 6343 ROTKREUZ";;-26.7;;Mobilität // Privater Verkehr
