Datum von:;="01.03.2025"
Datum bis:;="31.03.2025"
Kategorie:;="Alle"
Konto:;="CH2409000000157777331"
Währung:;="CHF"

Datum;Bewegungstyp;Avisierungstext;Gutschrift in CHF;Lastschrift in CHF;Label;Kategorie

31.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 31.03.2025 KARTEN NR. XXXX4821 CITY TANKSTELLE OLTEN WAREN 10.34";;-10.34;;Einkaufen // Detail-Lebensmittel
31.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 31.03.2025 KARTEN NR. XXXX4821 CITY TANKSTELLE OLTEN WAREN 6.55";;-6.55;;Einkaufen // Detail-Lebensmittel
31.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 31.03.2025 KARTEN NR. XXXX4821 SUMUP *DELIAS HAIRSTY LUZERN SCHWEIZ";;-50;;Leben // Styling und Wellness
31.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 31.03.2025 KARTEN NR. XXXX4821 KKIOSK 45810 BERN SCHWEIZ";;-7.55;;Einkaufen // Sonstiges Einkaufen
31.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 31.03.2025 KARTEN NR. XXXX4821 MIGROS MARKTHALLE (8812) SOLOTHURN SCHWEIZ";;-22.2;;Einkaufen // Supermärkte
31.03.2025;Buchung;"PREIS FÜR BANKPAKET SMART 02.2025";;-5;;Finanzen // Gebühren
31.03.2025;Buchung;"AUFTRAG CH-DD-BASISLASTSCHRIFT ID-NR. DES ZAHLUNGSEMPFÄNGERS: 41101000000123456 REFERENZ-NR: TAXA2589-695B-4A7B-B290-C9A7BEF7001 ZAHLUNGSEMPFÄNGER: STEUERDIENSTE REGION WEST MITTEILUNGEN: 2025/04/01 / 7045128 TRANSAKTIONS-ID: 305-77445512";;-1774;;Wohnen // Miete und Hypothek
30.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 30.03.2025 KARTEN NR. XXXX4821 SIGNOR ROSSI WINTERTHUR SCHWEIZ";;-20;;Freizeit // Gastronomie
30.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 30.03.2025 KARTEN NR. XXXX4821 MIGROS MARKTHALLE (8812) SOLOTHURN SCHWEIZ";;-20.7;;Einkaufen // Supermärkte
